Timestamp,Day of Week,Source IP,Destination IP,Encrypted Application Data
2023-12-03 18:57:03,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a90af952163557d4ea9077bb1db0327314782b4
2023-12-03 18:57:43,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a91c038e8752feda202d6e52787e1e705333c6d
2023-12-03 18:58:23,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a92ff97608e48500df59c4c45f106db97575783
2023-12-03 18:59:03,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a930019ca9b2847f84550a623977cd1f0703c90
2023-12-03 18:59:44,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a947f9b9ae805fa822bb049875ed71c435a5a0d
2023-12-03 19:00:23,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a95ce9a65063ab9fc7cece1f45043c219f575d7
2023-12-03 19:01:04,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a967b24d22b74c6b85c69282678c9539312923a
2023-12-03 19:01:44,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a97cd8acedf419619e39bb7ad0dc214ec343d95
2023-12-03 19:02:24,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a98f96df249c45b79f63c6537fc0a4ff8a6ff8b
2023-12-03 19:03:04,Sunday,54.74.168.158,192.168.137.9,ba7f684217be6a9973efb7aad487bdc933fbafe9928db0d8819d
